"District","Dem Votes","Dem Percentage","Rep Votes","Rep Percentage","Total Votes","Total Percentage","Result"
"District  1","-","-","0","100.00%","0","100.00%","Republican hold"
"District  2","-","-","0","100.00%","0","100.00%","Republican hold"
"District  3","-","-","0","100.00%","0","100.00%","Republican hold"
"District  4","-","-","42,041","77.26%","54,415","100.00%","Republican hold"
"District  5","-","-","0","100.00%","0","100.00%","Republican hold"
"District  6","15,975","26.71%","43,841","73.29%","59,816","100.00%","Republican hold"
"District  7","-","-","0","100.00%","0","100.00%","Republican hold"
"District  8","-","-","46,526","87.99%","52,876","100.00%","Republican hold"
"District  9","11,171","17.63%","52,178","82.37%","63,349","100.00%","Republican hold"
"District  10","-","-","0","100.00%","0","100.00%","Republican hold"
"District  11","-","-","0","100.00%","0","100.00%","Republican hold"
"District  12","-","-","0","100.00%","0","100.00%","Republican hold"
"District  13","12,027","22.50%","41,423","77.50%","53,450","100.00%","Republican hold"
"District  14","-","-","29,868","68.09%","43,863","100.00%","Republican hold"
"District  15","24,578","34.33%","47,021","65.67%","71,599","100.00%","Republican hold"
"District  16","-","-","0","100.00%","0","100.00%","Republican hold"
"District  17","19,404","31.87%","39,092","64.21%","60,884","100.00%","Republican hold"
"District  18","-","-","0","100.00%","0","100.00%","Republican hold"
"District  19","26,533","27.35%","70,492","72.65%","97,025","100.00%","Republican hold"
"District  20","34,175","40.92%","49,345","59.08%","83,520","100.00%","Republican hold"
"District  21","-","-","0","100.00%","0","100.00%","Republican hold"
"District  22","21,399","56.49%","16,484","43.51%","37,883","100.00%","Democratic hold"
"District  23","20,192","36.22%","35,559","63.78%","55,751","100.00%","Republican hold"
"District  24","20,842","30.01%","47,240","68.01%","69,456","100.00%","Republican hold"
"District  25","-","-","0","100.00%","0","100.00%","Republican hold"
"District  26","24,230","39.33%","37,376","60.67%","61,606","100.00%","Republican hold"
"District  27","40,668","70.27%","17,206","29.73%","57,874","100.00%","Democratic hold"
"District  28","25,124","38.44%","40,240","61.56%","65,364","100.00%","Republican hold"
"District  29","-","-","0","100.00%","0","100.00%","Republican hold"
